duration,awakenings,stress,caffeine,screen_time,exercise,mood,sleep_score
6.2472407130841745,2,4,1,12,82,2,55.89735580575651
9.704285838459498,2,7,277,54,15,2,29.104395512341448
8.39196365086843,5,9,223,87,93,5,30.163525275169782
7.59195090518222,3,8,71,84,21,2,18.621925813640193
4.936111842654619,2,8,67,108,13,3,1.270778170608743
4.935967122017216,4,9,93,42,115,1,16.105872739805402
4.3485016730091965,2,5,18,131,55,1,3.0546616185409263
9.197056874649611,4,5,127,70,64,1,42.599604778526896
7.606690070459253,2,3,81,11,44,3,57.65870154248565
8.248435466776273,4,5,253,58,53,5,32.728924721375286
4.123506965774815,2,8,220,43,65,3,0.5196182548234631
9.819459112971966,2,5,96,15,85,2,69.90380801543841
8.99465584480253,1,4,51,133,45,4,68.62015034536563
5.2740346640696565,4,8,174,13,32,4,7.489323331582739
5.090949803242603,4,7,181,114,78,4,8.180240396987458
5.100427059120603,4,6,114,111,49,1,0.0
5.825453457757226,0,5,0,122,104,3,40.39435202318396
7.148538589793427,2,5,62,57,21,3,47.70056283404037
6.591670111852695,4,10,247,158,39,1,0.0
5.747374841188251,5,2,230,168,38,2,0.0
7.671117368334277,0,4,225,119,104,4,52.8937730911929
4.836963163912251,1,8,18,34,40,4,30.48312180761301
5.752867891211309,4,8,30,9,74,1,37.154045521996146
6.19817105976215,4,1,120,80,67,4,30.463746603556544
6.736419905302215,0,2,23,157,6,5,40.30927259227776
8.711055768358081,2,5,210,43,84,3,50.87397408946002
5.198042692950159,5,9,160,70,70,4,4.819571877980456
7.085406630481669,1,10,254,17,3,4,27.05150221121659
7.554487413172255,4,7,58,82,75,5,54.666104884187156
4.278702476319986,2,10,113,78,90,2,8.434639089448405
7.645269111408631,5,5,159,85,58,2,20.48678113619199
5.023144742123749,5,1,219,166,80,5,4.028018333343699
4.390309557911677,1,6,168,41,83,2,18.331096807739794
9.69331322352,3,8,11,123,94,1,64.55928366113972
9.793792198447356,5,7,241,29,25,5,43.48080206572679
8.850384088698767,3,2,138,19,30,3,55.28198529147865
5.827682615040224,5,5,96,125,98,3,25.597508054483402
4.586032684038303,1,4,146,95,72,3,29.31546170256211
8.10539815907294,0,9,181,124,68,4,41.48582531132564
6.640914962437607,1,10,56,41,51,5,50.07380439280749
4.7322294090686725,1,1,41,88,111,5,67.40179931776598
6.971061460667621,0,6,198,86,71,2,30.654390446359233
4.20633112669131,0,3,30,4,20,5,57.35243583347051
9.455922412472692,2,9,179,49,15,5,44.20514982968929
5.5526798896001015,5,5,1,40,50,2,30.778156164371982
7.975133706123891,2,6,287,93,15,5,21.324936661677032
5.8702664565364655,0,9,137,166,17,5,13.533496097989916
7.120408127066865,3,9,104,56,46,1,19.55838990033929
7.280261676059678,3,8,217,164,55,2,0.0
5.109126733153162,1,9,221,134,27,1,0.0
9.817507766587351,4,4,104,132,81,4,61.28561914854164
8.650796940166687,1,6,126,50,77,2,46.95222227463782
9.636993649385134,1,5,264,105,55,5,45.75111947105689
9.368964102565894,4,5,199,135,111,5,46.67435427373664
7.587399872866511,5,4,251,10,36,1,8.540808354085314
9.531245410138702,0,2,14,149,103,1,83.31652799985372
4.530955012311517,3,6,225,97,15,4,0.0
5.175897174514871,1,9,104,98,84,4,31.634003109758712
4.271363733463229,4,1,232,138,64,5,0.0
5.951981984579586,2,7,218,95,59,3,19.407781877274036
